FeedbackID,ClientID,AgentID,Rating,Feedback,InteractionType,FeedbackDate
F001,273,354,3,The agent was very helpful and knowledgeable.,Appointment,2019-05-26
F002,32,497,3,"I had a great experience, everything was smooth and efficient.",Appointment,2019-06-10
F003,53,14,4,"Excellent service, highly recommend!",Appointment,2019-06-13
F004,211,442,5,The agent went above and beyond to help me.,Appointment,2019-07-10
F005,214,375,2,"Quick and efficient service, very satisfied.",Appointment,2019-07-24
F006,208,238,4,The agent answered all my questions thoroughly.,Appointment,2019-08-26
F007,210,411,5,"Good service, but communication could improve.",Appointment,2019-09-19
F008,208,238,2,The assistance provided was excellent and timely.,Transaction,2019-09-27
F009,172,217,4,Very friendly and helpful staff.,Appointment,2019-10-09
F010,248,149,5,"Overall, a satisfactory experience.",Appointment,2019-10-14
F011,266,222,5,The agent was courteous and efficient.,Appointment,2019-10-21
F012,115,58,3,The service was prompt and professional.,Appointment,2019-10-22
F013,300,148,5,I appreciated the agent's expertise and patience.,Appointment,2019-11-30
F014,232,383,5,The experience was seamless and hassle-free.,Appointment,2019-12-12
F015,168,412,1,The support I received was exceptional.,Appointment,2019-12-14
F016,295,175,1,Highly professional and attentive service.,Appointment,2019-12-18
F017,168,412,5,The agent made the process easy and enjoyable.,Transaction,2020-02-01
F018,249,337,5,I am extremely satisfied with the service.,Appointment,2020-02-08
F019,53,14,4,The agent's knowledge was impressive and helpful.,Transaction,2020-02-12
F020,174,129,5,The whole experience was outstanding.,Appointment,2020-02-18
F021,273,354,5,The service exceeded my expectations.,Transaction,2020-02-18
F022,250,58,5,The agent was very patient and understanding.,Appointment,2020-02-19
F023,30,411,4,The agent provided excellent guidance throughout.,Appointment,2020-02-23
F024,232,383,3,The process was quick and painless.,Transaction,2020-03-01
F025,176,58,2,The agent was attentive and supportive.,Appointment,2020-03-04
F026,85,147,4,Great customer service and friendly staff.,Transaction,2020-03-27
F027,106,149,3,The assistance was very professional and efficient.,Appointment,2020-04-09
F028,16,481,2,I was very pleased with the service provided.,Appointment,2020-04-13
F029,127,133,2,The agent's professionalism was top-notch.,Appointment,2020-04-25
F030,190,396,3,I felt well taken care of during the process.,Appointment,2020-05-06
F031,124,133,5,The agent was very knowledgeable and helpful.,Appointment,2020-06-05
F032,39,147,4,The service was excellent and timely.,Transaction,2020-06-13
F033,100,396,5,The agent was very understanding and supportive.,Appointment,2020-06-25
F034,145,368,2,The agent provided clear and helpful information.,Appointment,2020-07-03
F035,28,354,5,The process was straightforward and easy to follow.,Appointment,2020-07-14
F036,182,64,3,The agent was very friendly and approachable.,Appointment,2020-07-14
F037,267,29,4,The service was reliable and efficient.,Appointment,2020-07-14
F038,16,190,5,The agent's support was invaluable.,Appointment,2020-07-19
F039,206,300,1,The overall experience was very positive.,Appointment,2020-07-26
F040,22,98,1,The agent was very professional and courteous.,Appointment,2020-08-11
F041,62,396,1,The service was thorough and efficient.,Appointment,2020-08-12
F042,243,29,4,The agent was very responsive and helpful.,Appointment,2020-08-17
F043,81,29,1,The service was top-notch and very professional.,Transaction,2020-08-20
F044,81,29,1,The agent was very attentive and considerate.,Appointment,2020-08-23
F045,272,300,2,The process was smooth and efficient.,Appointment,2020-08-23
F046,244,192,1,The agent's assistance was very helpful.,Transaction,2020-08-25
F047,272,300,2,The service was outstanding and very professional.,Transaction,2020-08-26
F048,206,300,1,The agent was very patient and supportive.,Transaction,2020-10-09
F049,87,91,2,The overall experience was excellent.,Appointment,2020-10-16
F050,227,333,3,The agent was very helpful and accommodating.,Appointment,2020-10-17
F051,22,98,5,The service was very professional and efficient.,Transaction,2020-10-18
F052,145,457,2,The agent's guidance was very helpful.,Appointment,2020-11-02
F053,192,107,5,The process was simple and straightforward.,Appointment,2020-11-14
F054,55,217,3,The agent was very knowledgeable and supportive.,Appointment,2020-11-23
F055,71,155,5,The service was very reliable and efficient.,Appointment,2020-11-27
F056,187,148,4,The agent was very courteous and professional.,Transaction,2020-12-02
F057,182,64,3,The assistance provided was very helpful.,Transaction,2020-12-03
F058,13,87,1,The overall experience was very satisfactory.,Appointment,2020-12-14
F059,171,170,1,The agent was very friendly and helpful.,Appointment,2020-12-16
F060,97,148,3,The service was very efficient and professional.,Appointment,2020-12-20
F061,171,331,1,The agent was very patient and understanding.,Appointment,2020-12-21
F062,188,62,2,The process was very smooth and hassle-free.,Appointment,2020-12-25
F063,62,396,2,The agent was very knowledgeable and accommodating.,Transaction,2020-12-25
F064,252,167,4,The service was very prompt and efficient.,Appointment,2020-12-31
F065,267,149,3,The agent was very professional and helpful.,Transaction,2021-01-04
F066,124,133,4,The assistance provided was very reliable.,Transaction,2021-01-05
F067,243,29,2,The overall experience was very positive.,Transaction,2021-01-19
F068,174,129,2,The agent was very attentive and supportive.,Transaction,2021-01-30
F069,99,434,1,The service was very professional and reliable.,Appointment,2021-02-02
F070,49,148,3,The agent was very helpful and courteous.,Appointment,2021-02-17
F071,201,192,2,The process was very straightforward and easy.,Appointment,2021-02-17
F072,255,103,5,The agent was very knowledgeable and friendly.,Appointment,2021-02-28
F073,255,302,1,The service was very efficient and timely.,Appointment,2021-03-17
F074,81,190,3,The agent was very supportive and professional.,Appointment,2021-03-28
F075,99,434,3,The assistance provided was very satisfactory.,Transaction,2021-04-06
F076,131,91,3,The overall experience was excellent.,Appointment,2021-04-10
F077,84,395,5,The agent was very friendly and accommodating.,Appointment,2021-04-27
F078,171,170,5,The service was very reliable and professional.,Transaction,2021-04-30
F079,105,447,4,The agent was very knowledgeable and helpful.,Appointment,2021-05-07
F080,129,200,1,The process was very smooth and efficient.,Appointment,2021-05-15
F081,118,411,4,The agent was very patient and courteous.,Appointment,2021-05-20
F082,83,332,3,The service was very prompt and professional.,Appointment,2021-05-26
F083,38,428,4,The agent was very understanding and supportive.,Appointment,2021-05-28
F084,165,304,3,The assistance provided was very reliable.,Transaction,2021-05-30
F085,128,155,4,The overall experience was very positive.,Appointment,2021-05-31
F086,10,331,1,The agent was very attentive and helpful.,Appointment,2021-06-04
F087,129,200,3,The service was very professional and efficient.,Transaction,2021-06-08
F088,122,70,1,The agent was very knowledgeable and accommodating.,Appointment,2021-06-10
F089,257,345,2,The process was very straightforward and easy.,Appointment,2021-06-11
F090,13,114,2,The agent was very courteous and professional.,Appointment,2021-06-25
F091,174,234,4,The service was very prompt and efficient.,Appointment,2021-06-29
